,lat,lon,lightning_time
0,13.40036975945668,117.46086135756013,2020-05-15 18:33:18
1,14.122037460220099,117.92633451871518,2020-05-15 18:33:18
2,14.590951612580284,118.31996555514513,2020-05-15 18:33:18
3,15.15708147242617,118.8508916596046,2020-05-15 18:33:18
4,11.841740146141746,119.77863410061912,2020-05-15 18:33:18
5,12.080624878326603,120.38247209722516,2020-05-15 18:33:18
6,12.230949120198886,120.66760231503284,2020-05-15 18:33:18
7,12.389380606156521,120.99603965108436,2020-05-15 18:33:18
8,12.533269336622368,118.73840464524847,2020-05-15 18:33:18
9,12.896915084401599,119.42734630149255,2020-05-15 18:33:18
10,13.111272788906035,119.84123757923902,2020-05-15 18:33:18
11,13.320158590695712,120.32965457428074,2020-05-15 18:33:18
12,12.442950373933456,120.3413260810454,2020-05-15 18:33:18
13,12.783659588495652,120.91447854554218,2020-05-15 18:33:18
14,13.046564302639517,121.10061204193735,2020-05-15 18:33:18
15,13.3879878921143,121.34457757142162,2020-05-15 18:33:18
16,11.75835410783992,120.87428336709695,2020-05-15 18:33:18
17,12.011074553418307,121.29415642827512,2020-05-15 18:33:18
18,12.169261293505143,121.45079111708141,2020-05-15 18:33:18
19,12.366273704027677,121.6476032724863,2020-05-15 18:33:18
20,12.126461917142421,120.57216689231456,2020-05-15 18:33:18
21,12.426740840676757,121.09598496673134,2020-05-15 18:33:18
22,12.63687316400795,121.2706380458172,2020-05-15 18:33:18
23,12.904130515008251,121.4949236843189,2020-05-15 18:33:18
24,11.526233073278561,122.30352660272673,2020-05-15 18:34:25
25,11.647803055480821,122.00817060693439,2020-05-15 18:34:25
26,11.668396507777175,121.93456849753443,2020-05-15 18:34:25
27,11.484766283963552,120.0229154204419,2020-05-15 18:34:25
28,11.353972269201705,119.41934209584838,2020-05-15 18:34:25
29,11.248411888765816,119.11245319122827,2020-05-15 18:34:25
30,11.186957852539763,122.77848271275138,2020-05-15 18:34:25
31,11.869374649112842,121.49328339458134,2020-05-15 18:34:25
